text,source
"Заявление о совершенном нотариальном действии или об отказе в его совершении рассматривается судом с участием заявителя, а также нотариуса, должностного лица, совершивших нотариальное действие или отказавших в совершении нотариального действия. Однако их неявка не является препятствием к рассмотрению заявления.",ГПК РФ: Статья 311.
"Решение суда, которым удовлетворено заявление о совершенном нотариальном действии или об отказе в его совершении, отменяет совершенное нотариальное действие или обязывает совершить такое действие.",ГПК РФ: Статья 312.
"Восстановление утраченного полностью или в части судебного производства по гражданскому делу, оконченного принятием решения суда или вынесением определения о прекращении судебного производства по делу, производится судом в порядке, установленном настоящей главой.",ГПК РФ: Статья 313. п. 1. 
"Дело о восстановлении утраченного судебного производства возбуждается по заявлениям лиц, участвующих в деле, а также по инициативе суда.",ГПК РФ: Статья 313. п. 2. 
"Заявление о восстановлении утраченного судебного производства подается в суд, принявший решение по существу спора или вынесший определение о прекращении судебного производства по делу.",ГПК РФ: Статья 314. п. 1. 
"В заявлении о восстановлении утраченного судебного производства должно быть указано, о восстановлении какого именно судебного производства просит заявитель, было ли принято судом решение по существу или производство по делу прекращалось, какое процессуальное положение занимал в деле заявитель, кто еще принимал участие в деле и в каком процессуальном положении, место жительства или адрес этих лиц, что известно заявителю об обстоятельствах утраты производства, о месте нахождения копий документов производства или сведений о них, восстановление каких именно документов заявитель считает необходимым, для какой цели необходимо их восстановление. К заявлению прилагаются сохранившиеся и имеющие отношение к делу документы или их копии, даже если они не заверены в установленном порядке. Заявитель освобождается от уплаты судебных расходов, понесенных судом при рассмотрении дела о восстановлении утраченного судебного производства.",ГПК РФ: Статья 314. п. 2. 
"При отсутствии указания в заявлении о восстановлении утраченного судебного производства соответствующей цели обращения суд оставляет заявление без движения и предоставляет срок, необходимый для изложения цели заявителем.",ГПК РФ: Статья 315. п. 1. 
"В случае, если указанная заявителем цель обращения не связана с защитой его прав и законных интересов, суд отказывает в возбуждении дела о восстановлении утраченного судебного производства или мотивированным определением оставляет заявление без рассмотрения, если дело было возбуждено.",ГПК РФ: Статья 315. п. 2. 
"Судебное производство, утраченное до рассмотрения дела по существу, не подлежит восстановлению. Истец в этом случае вправе предъявить новый иск. В определении суда о возбуждении дела по новому иску в связи с утратой судебного производства данное обстоятельство должно быть обязательно отражено.",ГПК РФ: Статья 316. п. 1. 
"При рассмотрении дела по новому иску суд использует сохранившиеся части судебного производства, документы, выданные гражданам, организациям из дела до утраты производства, копии этих документов, другие документы, имеющие отношение к делу. Суд может допросить в качестве свидетелей лиц, присутствовавших при совершении процессуальных действий, в необходимых случаях судей, рассматривавших дело, по которому утрачено производство, а также лиц, исполнявших решение суда.",ГПК РФ: Статья 316. п. 2. 
"Решение или определение суда о прекращении судебного производства, если оно принималось по делу, подлежит восстановлению, за исключением случаев, предусмотренных статьей 318 настоящего Кодекса.",ГПК РФ: Статья 317. п. 1. 
"В решении суда о восстановлении утраченных решения суда или определения суда о прекращении судебного производства указывается, на основании каких данных, представленных суду и исследованных в судебном заседании с участием всех участников процесса по утраченному производству, суд считает установленным содержание восстанавливаемого судебного постановления. В мотивировочной части решения суда о восстановлении утраченного производства также указываются выводы суда о доказанности обстоятельств, которые обсуждались судом, и о том, какие процессуальные действия совершались по утраченному производству.",ГПК РФ: Статья 317. п. 2. 
"При недостаточности собранных материалов для точного восстановления судебного постановления, связанного с утраченным судебным производством, суд определением прекращает производство по делу о восстановлении утраченного судебного производства и разъясняет лицам, участвующим в деле, право предъявить иск в общем порядке.",ГПК РФ: Статья 318. п. 1. 
"Рассмотрение заявления о восстановлении утраченного судебного производства не ограничивается сроком его хранения. Однако в случае обращения с заявлением о восстановлении утраченного судебного производства в целях его исполнения, если срок предъявления исполнительного листа к исполнению истек и судом не восстанавливается, суд также прекращает производство по делу о восстановлении утраченного судебного производства.",ГПК РФ: Статья 318. п. 2. 
"Судебные постановления, связанные с восстановлением утраченного судебного производства, обжалуются в порядке, установленном настоящим Кодексом.",ГПК РФ: Статья 319. п. 1. 
"При заведомо ложном заявлении судебные расходы, связанные с возбуждением дела по заявлению о восстановлении утраченного судебного производства, взыскиваются с заявителя.",ГПК РФ: Статья 319. п. 2. 
"Решения суда первой инстанции, не вступившие в законную силу, могут быть обжалованы в апелляционном порядке в соответствии с правилами, предусмотренными настоящей главой.",ГПК РФ: Статья 320. п. 1. 
"Право апелляционного обжалования решения суда принадлежит сторонам и другим лицам, участвующим в деле. Право принесения апелляционного представления принадлежит прокурору, участвующему в деле.",ГПК РФ: Статья 320. п. 2. 
"Апелляционную жалобу вправе подать также лица, которые не были привлечены к участию в деле и вопрос о правах и об обязанностях которых был разрешен судом.",ГПК РФ: Статья 320. п. 3. 
"Апелляционные жалобы, представления рассматриваются: 1) районным судом - на решения мировых судей; 2) верховным судом республики, краевым, областным судом, судом города федерального значения, судом автономной области, судом автономного округа, окружным (флотским) военным судом - на решения районных судов, решения гарнизонных военных судов; 3) апелляционным судом общей юрисдикции - на решения верховных судов республик, краевых, областных судов, судов городов федерального значения, суда автономной области, судов автономных округов, принятые ими по первой инстанции; 4) апелляционным военным судом - на решения окружных (флотских) военных судов, принятые ими по первой инстанции; 5) Апелляционной коллегией Верховного Суда Российской Федерации - на решения Верховного Суда Российской Федерации, принятые по первой инстанции.",ГПК РФ: Статья 320.1.
"Апелляционные жалоба, представление подаются через суд, принявший решение, на бумажном носителе или в электронном виде, в том числе в форме электронного документа. Апелляционные жалоба, представление, поступившие непосредственно в апелляционную инстанцию, подлежат направлению в суд, вынесший решение, для дальнейших действий в соответствии с требованиями статьи 325 настоящего Кодекса.",ГПК РФ: Статья 321. п. 1. 
"Апелляционные жалоба, представление могут быть поданы в течение месяца со дня принятия решения суда в окончательной форме, если иные сроки не установлены настоящим Кодексом.",ГПК РФ: Статья 321. п. 2. 
"Апелляционные жалоба, представление должны содержать: 1) наименование суда, в который подаются апелляционные жалоба, представление; 2) наименование лица, подающего жалобу, представление, его место жительства или адрес; 3) номер дела, присвоенный судом первой инстанции, указание на решение суда, которое обжалуется; 4) требования лица, подающего жалобу, или требования прокурора, приносящего представление, а также основания, по которым они считают решение суда неправильным; 5) перечень прилагаемых к жалобе, представлению документов.",ГПК РФ: Статья 322. п. 1. 
"В апелляционных жалобе, представлении могут быть указаны номера телефонов, факсов, адреса электронной почты и иные необходимые для рассмотрения дела сведения, а также заявлены имеющиеся ходатайства. В апелляционных жалобе, представлении не могут содержаться требования, не заявленные при рассмотрении дела в суде первой инстанции. Ссылка лица, подающего апелляционную жалобу, или прокурора, приносящего апелляционное представление, на новые доказательства, которые не были представлены в суд первой инстанции, допускается только в случае обоснования в указанных жалобе, представлении, что эти доказательства невозможно было представить в суд первой инстанции.",ГПК РФ: Статья 322. п. 2. 
"Апелляционная жалоба подписывается лицом, подающим жалобу, или его представителем. К жалобе, поданной представителем, должны быть приложены доверенность или иной документ, удостоверяющие полномочие представителя и оформленные в порядке, установленном статьей 53 настоящего Кодекса, если в деле не имеется такого документа. Апелляционное представление подписывается прокурором.",ГПК РФ: Статья 322. п. 3. 
"К апелляционной жалобе также прилагаются: 1) документ, подтверждающий уплату государственной пошлины в установленных размере и порядке или право на получение льготы по уплате государственной пошлины, либо ходатайство о предоставлении отсрочки, рассрочки, об уменьшении размера государственной пошлины или об освобождении от уплаты государственной пошлины, если в деле не имеется такого документа; 2) документ, подтверждающий направление или вручение другим лицам, участвующим в деле, копий апелляционных жалобы, представления и приложенных к ним документов, которые у других лиц, участвующих в деле, отсутствуют, в том числе в случае подачи в суд апелляционных жалобы, представления и приложенных к ним документов в электронном виде.",ГПК РФ: Статья 322. п. 4. 
"При подаче апелляционных жалобы, представления, не соответствующих требованиям, предусмотренным статьей 322 настоящего Кодекса, при подаче жалобы, не оплаченной государственной пошлиной, судья не позднее чем через пять дней со дня поступления жалобы, представления выносит определение, которым оставляет жалобу, представление без движения, и назначает лицу, подавшему жалобу, представление, разумный срок для исправления недостатков жалобы, представления с учетом характера таких недостатков, а также места жительства или места нахождения лица, подавшего жалобу.",ГПК РФ: Статья 323. п. 1. 
"В случае, если лицо, подавшее апелляционные жалобу, представление, выполнит в установленный срок указания, содержащиеся в определении судьи, жалоба, представление считаются поданными в день первоначального поступления их в суд.",ГПК РФ: Статья 323. п. 2. 
"На определение судьи об оставлении апелляционных жалобы, представления без движения могут быть поданы частная жалоба, представление прокурора.",ГПК РФ: Статья 323. п. 3. 
"Апелляционная жалоба возвращается лицу, подавшему жалобу, апелляционное представление - прокурору в случае: 1) невыполнения в установленный срок указаний судьи, содержащихся в определении об оставлении жалобы, представления без движения; 2) истечения срока обжалования, если в жалобе, представлении не содержится просьба о восстановлении срока или в его восстановлении отказано.",ГПК РФ: Статья 324. п. 1. 
"Апелляционная жалоба возвращается также по просьбе лица, подавшего жалобу, апелляционное представление - при отзыве его прокурором, если дело не направлено в суд апелляционной инстанции.",ГПК РФ: Статья 324. п. 2. 
"Возврат апелляционной жалобы лицу, подавшему жалобу, апелляционного представления прокурору осуществляется на основании определения судьи. На определение судьи о возвращении апелляционных жалобы, представления могут быть поданы частная жалоба, представление прокурора.",ГПК РФ: Статья 324. п. 3. 
"Суд первой инстанции после получения апелляционных жалобы, представления проверяет их на соответствие требованиям статей 321 и 322 настоящего Кодекса и разъясняет лицам, участвующим в деле, право представить возражения относительно них.",ГПК РФ: Статья 325. п. 1. 
"Лица, участвующие в деле, вправе представить в суд первой инстанции возражения в письменной форме относительно апелляционных жалобы, представления с приложением документов, подтверждающих эти возражения и направление или вручение их копий другим лицам, участвующим в деле, и вправе ознакомиться с материалами дела, с поступившими жалобой, представлением и возражениями относительно них.",ГПК РФ: Статья 325. п. 2. 
"По истечении срока обжалования суд первой инстанции направляет дело с апелляционными жалобой, представлением и поступившими возражениями относительно них в суд апелляционной инстанции. До истечения срока обжалования дело не может быть направлено в суд апелляционной инстанции.",ГПК РФ: Статья 325. п. 3. 
"Суд апелляционной инстанции возвращает дело, поступившее с апелляционными жалобой, представлением, в суд первой инстанции, если судом первой инстанции не было рассмотрено: 1) заявление о восстановлении срока на подачу апелляционных жалобы, представления; 2) замечание на протокол судебного заседания; 3) заявление о вынесении дополнительного решения.",ГПК РФ: Статья 325.1. п. 1. 
"Суд апелляционной инстанции также возвращает дело в суд первой инстанции, если судом первой инстанции не было изготовлено мотивированное решение.",ГПК РФ: Статья 325.1. п. 2. 
"Отказ от апелляционных жалобы, представления допускается до вынесения судом апелляционного определения.",ГПК РФ: Статья 326. п. 1. 
"Заявление об отказе от апелляционных жалобы, представления подается в письменной форме в суд апелляционной инстанции. Заявление об отказе от апелляционных жалобы, представления может быть подано в суд в электронном виде, в том числе в форме электронного документа.",ГПК РФ: Статья 326. п. 2. 
"О принятии отказа от апелляционных жалобы, представления суд апелляционной инстанции выносит определение, которым прекращает производство по соответствующим апелляционным жалобе, представлению. Прекращение производства по апелляционным жалобе, представлению в связи с отказом от них не является препятствием для рассмотрения иных апелляционных жалоб, представлений, если соответствующее решение суда первой инстанции обжалуется другими лицами.",ГПК РФ: Статья 326. п. 3. 
"Отказ истца от иска, признание иска ответчиком или мировое соглашение сторон, совершенные после принятия апелляционных жалобы, представления, должны быть выражены в поданных суду апелляционной инстанции заявлениях в письменной форме. В случае, если отказ истца от иска, признание иска ответчиком, условия мирового соглашения сторон были заявлены в судебном заседании, такие отказ, признание, условия заносятся в протокол судебного заседания и подписываются соответственно истцом, ответчиком, сторонами мирового соглашения.",ГПК РФ: Статья 326.1. п. 1. 
"Порядок и последствия рассмотрения заявления об отказе истца от иска или заявления сторон о заключении мирового соглашения определяются по правилам, установленным частями второй и третьей статьи 173, главой 14.1 настоящего Кодекса. При принятии отказа истца от иска или при утверждении мирового соглашения сторон суд апелляционной инстанции отменяет принятое решение суда и прекращает производство по делу. В случае признания ответчиком иска и принятия его судом апелляционной инстанции принимается решение об удовлетворении заявленных истцом требований.",ГПК РФ: Статья 326.1. п. 2. 
"Суд апелляционной инстанции по ходатайству лиц, участвующих в деле, вправе приостановить исполнение судебных актов, принятых судом первой инстанции, при условии, если заявитель обосновал невозможность или затруднительность поворота исполнения. Ходатайство о приостановлении исполнения судебных актов, подаваемое в электронном виде, должно быть подписано усиленной квалифицированной электронной подписью.",ГПК РФ: Статья 326.2. п. 1. 
"О приостановлении исполнения судебных актов или об отказе в приостановлении исполнения судебных актов суд апелляционной инстанции выносит определение в трехдневный срок со дня поступления ходатайства в суд. Копия определения о приостановлении исполнения судебных актов или об отказе в приостановлении исполнения судебных актов направляется лицам, участвующим в деле.",ГПК РФ: Статья 326.2. п. 2. 
"Исполнение судебных актов приостанавливается на срок до принятия судом апелляционной инстанции определения по результатам рассмотрения апелляционной жалобы, если судом не установлен иной срок приостановления исполнения судебных актов.",ГПК РФ: Статья 326.2. п. 3. 
"Суд апелляционной инстанции извещает лиц, участвующих в деле, о времени и месте рассмотрения жалобы, представления в апелляционном порядке. Суд апелляционной инстанции повторно рассматривает дело в судебном заседании по правилам производства в суде первой инстанции с учетом особенностей, предусмотренных настоящей главой. Лица, участвующие в деле, их представители, а также свидетели, эксперты, специалисты, переводчики допускаются к участию в судебном заседании путем использования систем видеоконференц-связи в порядке, установленном статьей 155.1 настоящего Кодекса.",ГПК РФ: Статья 327. п. 1. 
"Заседание суда апелляционной инстанции открывает судья-председательствующий, который объявляет, какое рассматривается дело, по чьим апелляционным жалобе, представлению оно подлежит рассмотрению и на решение какого суда поданы эти жалоба, представление, выясняет, кто из лиц, участвующих в деле, их представителей явился, устанавливает личность явившихся, проверяет полномочия должностных лиц, их представителей и разъясняет лицам, участвующим в деле, их процессуальные права и обязанности. Рассмотрение дела в суде апелляционной инстанции начинается с доклада судьи, который излагает обстоятельства дела.",ГПК РФ: Статья 327. п. 2. 
"После доклада суд апелляционной инстанции заслушивает объяснения явившихся в судебное заседание лиц, участвующих в деле, их представителей. Первым выступает лицо, подавшее апелляционную жалобу, или его представитель либо прокурор, если им принесено апелляционное представление. В случае обжалования решения суда обеими сторонами первым выступает истец. После объяснений лица, подавшего апелляционную жалобу, или прокурора, если им принесено апелляционное представление, и других лиц, участвующих в деле, их представителей суд апелляционной инстанции при наличии соответствующих ходатайств оглашает имеющиеся в деле доказательства, после чего переходит к исследованию новых принятых судом доказательств.",ГПК РФ: Статья 327. п. 3. 
"По окончании выяснения обстоятельств дела и исследования доказательств суд апелляционной инстанции предоставляет лицам, участвующим в деле, возможность выступить в судебных прениях в той же последовательности, в какой они давали объяснения.",ГПК РФ: Статья 327. п. 4. 
"В ходе каждого судебного заседания суда апелляционной инстанции, а также при совершении отдельных процессуальных действий вне судебного заседания ведется протокол по правилам, предусмотренным главой 21 настоящего Кодекса.",ГПК РФ: Статья 327. п. 5. 
"В суде апелляционной инстанции не применяются правила о соединении и разъединении нескольких исковых требований, об изменении предмета или основания иска, об изменении размера исковых требований, о предъявлении встречного иска, о замене ненадлежащего ответчика, о привлечении к участию в деле третьих лиц.",ГПК РФ: Статья 327. п. 6. 
"Суд апелляционной инстанции рассматривает дело в пределах доводов, изложенных в апелляционных жалобе, представлении и возражениях относительно жалобы, представления. Суд апелляционной инстанции оценивает имеющиеся в деле, а также дополнительно представленные доказательства. Дополнительные доказательства принимаются судом апелляционной инстанции, если лицо, участвующее в деле, обосновало невозможность их представления в суд первой инстанции по причинам, не зависящим от него, и суд признает эти причины уважительными. О принятии новых доказательств суд апелляционной инстанции выносит определение.",ГПК РФ: Статья 327.1. п. 1. 
"В случае, если в порядке апелляционного производства обжалуется только часть решения, суд апелляционной инстанции проверяет законность и обоснованность решения только в обжалуемой части. Суд апелляционной инстанции в интересах законности вправе проверить решение суда первой инстанции в полном объеме.",ГПК РФ: Статья 327.1. п. 2. 
"Вне зависимости от доводов, содержащихся в апелляционных жалобе, представлении, суд апелляционной инстанции проверяет, не нарушены ли судом первой инстанции нормы процессуального права, являющиеся в соответствии с частью четвертой статьи 330 настоящего Кодекса основаниями для отмены решения суда первой инстанции.",ГПК РФ: Статья 327.1. п. 3. 
"Новые требования, которые не были предметом рассмотрения в суде первой инстанции, не принимаются и не рассматриваются судом апелляционной инстанции.",ГПК РФ: Статья 327.1. п. 4. 
"Районный суд, верховный суд республики, краевой, областной суд, суд города федерального значения, суд автономной области, суд автономного округа, окружной (флотский) военный суд, апелляционный суд общей юрисдикции рассматривают поступившее по апелляционным жалобе, представлению дело в срок, не превышающий двух месяцев со дня его поступления в суд апелляционной инстанции. В случае, если апелляционная жалоба поступила в суд апелляционной инстанции до истечения срока ее подачи, срок рассмотрения апелляционной жалобы исчисляется со дня истечения срока подачи апелляционной жалобы.",ГПК РФ: Статья 327.2. п. 1. 
"Верховный Суд Российской Федерации рассматривает поступившее по апелляционным жалобе, представлению дело в срок, не превышающий трех месяцев со дня его поступления.",ГПК РФ: Статья 327.2. п. 2. 
"Настоящим Кодексом, иными федеральными законами могут быть установлены сокращенные сроки рассмотрения апелляционных жалоб, представлений по отдельным категориям дел в суде апелляционной инстанции.",ГПК РФ: Статья 327.2. п. 3. 
"По результатам рассмотрения апелляционных жалобы, представления суд апелляционной инстанции вправе: 1) оставить решение суда первой инстанции без изменения, апелляционные жалобу, представление без удовлетворения; 2) отменить или изменить решение суда первой инстанции полностью или в части и принять по делу новое решение; 3) отменить решение суда первой инстанции полностью или в части и прекратить производство по делу либо оставить заявление без рассмотрения полностью или в части; 4) оставить апелляционные жалобу, представление без рассмотрения по существу, если жалоба, представление поданы по истечении срока апелляционного обжалования и не решен вопрос о восстановлении этого срока.",ГПК РФ: Статья 328.
Постановление суда апелляционной инстанции выносится в форме апелляционного определения.,ГПК РФ: Статья 329. п. 1. 
"В апелляционном определении указываются: 1) номер дела, присвоенный судом первой инстанции, дата и место вынесения определения; 2) наименование суда, вынесшего определение, состав суда; 3) лицо, подавшее апелляционные жалобу, представление; 4) краткое содержание обжалуемого решения суда первой инстанции, апелляционных жалобы, представления, представленных доказательств, объяснений лиц, участвующих в рассмотрении дела в суде апелляционной инстанции; 5) обстоятельства дела, установленные судом апелляционной инстанции, доказательства, на которых основаны выводы суда об этих обстоятельствах, законы и иные нормативные правовые акты, которыми руководствовался суд при принятии постановления, мотивы, по которым суд отклонил те или иные доказательства и не применил законы и иные нормативные правовые акты, на которые ссылались лица, участвующие в деле; 6) мотивы, по которым суд апелляционной инстанции не согласился с выводами суда первой инстанции, если его решение было отменено полностью или в части; 7) выводы суда по результатам рассмотрения апелляционных жалобы, представления.",ГПК РФ: Статья 329. п. 2. 
"При оставлении апелляционных жалобы, представления без удовлетворения суд обязан указать мотивы, по которым доводы апелляционных жалобы, представления отклоняются.",ГПК РФ: Статья 329. п. 3. 
"В определении суда апелляционной инстанции указывается на распределение между сторонами судебных расходов, в том числе расходов, понесенных в связи с подачей апелляционных жалобы, представления.",ГПК РФ: Статья 329. п. 4. 
Определение суда апелляционной инстанции вступает в законную силу со дня его принятия.,ГПК РФ: Статья 329. п. 5. 
"Составление мотивированного апелляционного определения может быть отложено на срок, не превышающий десяти дней со дня объявления в судебном заседании суда апелляционной инстанции резолютивной части апелляционного определения. В мотивированном апелляционном определении должна быть указана дата его изготовления.",ГПК РФ: Статья 329. п. 6. 
